Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,India,IND,84,86,86,89,90,90,85,85,93,91,93
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Brazil,BRA,96,98,72,84,85,85,74,68,75,85,82
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,China,CHN,..,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,India,IND,..,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",SH.HIV.INCD.YG.P3,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,Brazil,BRA,0.58,0.59,0.6,0.6,0.6,0.59,0.57,0.55,0.53,0.5,0.47
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,China,CHN,..,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,India,IND,..,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, ages 50+ (per 1,000 uninfected population ages 50+)",SH.HIV.INCD.50.P3,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,China,CHN,..,..,..,..,..,..,..,..,..,..,..
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,India,IND,..,..,..,..,..,..,..,..,..,..,0.1
"Incidence of HIV, all (per 1,000 uninfected population)",SH.HIV.INCD.TL.P3,Brazil,BRA,0.34,0.35,0.35,0.35,0.35,0.34,0.33,0.32,0.31,0.29,0.27
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,China,CHN,0,0,0,0,0,0,0,..,0,..,0
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,India,IND,6.33,6.44,6.29,4.61,3.43,2.84,2.53,2.5,1.4,1.34,1.48
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Brazil,BRA,3.61,4.02,3.2,5.32,5.23,4.24,3.95,3.47,3.21,3.81,3.75
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,China,CHN,67,65,63,62,61,58,58,55,52,52,49
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,India,IND,243,237,225,217,208,202,197,196,196,192,187
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Brazil,BRA,41,41,41,43,45,45,45,47,49,49,49
